AI Data Generator started...
2025/03/21 07:51:17 Anomaly detected in metric cpu_usage:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.10, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric cpu_usage:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.12, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric cpu_usage:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.44, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.13, confidence: 0.81)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.13, confidence: 0.81)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.73, confidence: 0.77)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.75, confidence: 0.87)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.75, confidence: 0.87)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.24, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.24, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.58, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.58, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 5.76, confidence: 0.98)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 5.76, confidence: 0.98)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.54, confidence: 0.75)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.80, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.36, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.36, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 6.96, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 6.96, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.86, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 8.33, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 8.33, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.98, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.17, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.00, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.00, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.30, confidence: 0.73)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.30, confidence: 0.73)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.90, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.95, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 4.08, confidence: 0.81)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 4.25, confidence: 0.83)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.93, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 4.24, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 4.03, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.73, confidence: 0.77)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.84, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.59, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.59, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.69, confidence: 0.77)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.54, confidence: 0.75)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.58, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.93, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.23, confidence: 0.72)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.70, confidence: 0.77)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.67, confidence: 0.77)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.13, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.53, confidence: 0.75)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.23, confidence: 0.72)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.05, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.48, confidence: 0.75)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.58, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.04, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.02, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.04, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.20, confidence: 0.72)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.23, confidence: 0.72)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.27, confidence: 0.73)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.14, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-3: drop at 2025-03-21T07:51:17+01:00 (score: 3.02, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-1: drop at 2025-03-21T07:51:17+01:00 (score: 3.03, confidence: 0.70)
2025/03/21 07:51:17 Anomaly detected in metric memory_usage:node-2: drop at 2025-03-21T07:51:17+01:00 (score: 3.07, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.58, confidence: 0.76)
